Email Text,Email Type
Urgent! Your account 0 has been suspended. Click http://fakebank0.com to verify.,Phishing Email
Urgent! Your account 1 has been suspended. Click http://fakebank1.com to verify.,Phishing Email
Urgent! Your account 2 has been suspended. Click http://fakebank2.com to verify.,Phishing Email
Urgent! Your account 3 has been suspended. Click http://fakebank3.com to verify.,Phishing Email
Urgent! Your account 4 has been suspended. Click http://fakebank4.com to verify.,Phishing Email
Urgent! Your account 5 has been suspended. Click http://fakebank5.com to verify.,Phishing Email
Urgent! Your account 6 has been suspended. Click http://fakebank6.com to verify.,Phishing Email
Urgent! Your account 7 has been suspended. Click http://fakebank7.com to verify.,Phishing Email
Urgent! Your account 8 has been suspended. Click http://fakebank8.com to verify.,Phishing Email
Urgent! Your account 9 has been suspended. Click http://fakebank9.com to verify.,Phishing Email
Urgent! Your account 10 has been suspended. Click http://fakebank10.com to verify.,Phishing Email
Urgent! Your account 11 has been suspended. Click http://fakebank11.com to verify.,Phishing Email
Urgent! Your account 12 has been suspended. Click http://fakebank12.com to verify.,Phishing Email
Urgent! Your account 13 has been suspended. Click http://fakebank13.com to verify.,Phishing Email
Urgent! Your account 14 has been suspended. Click http://fakebank14.com to verify.,Phishing Email
Urgent! Your account 15 has been suspended. Click http://fakebank15.com to verify.,Phishing Email
Urgent! Your account 16 has been suspended. Click http://fakebank16.com to verify.,Phishing Email
Urgent! Your account 17 has been suspended. Click http://fakebank17.com to verify.,Phishing Email
Urgent! Your account 18 has been suspended. Click http://fakebank18.com to verify.,Phishing Email
Urgent! Your account 19 has been suspended. Click http://fakebank19.com to verify.,Phishing Email
Urgent! Your account 20 has been suspended. Click http://fakebank20.com to verify.,Phishing Email
Urgent! Your account 21 has been suspended. Click http://fakebank21.com to verify.,Phishing Email
Urgent! Your account 22 has been suspended. Click http://fakebank22.com to verify.,Phishing Email
Urgent! Your account 23 has been suspended. Click http://fakebank23.com to verify.,Phishing Email
Urgent! Your account 24 has been suspended. Click http://fakebank24.com to verify.,Phishing Email
Urgent! Your account 25 has been suspended. Click http://fakebank25.com to verify.,Phishing Email
Urgent! Your account 26 has been suspended. Click http://fakebank26.com to verify.,Phishing Email
Urgent! Your account 27 has been suspended. Click http://fakebank27.com to verify.,Phishing Email
Urgent! Your account 28 has been suspended. Click http://fakebank28.com to verify.,Phishing Email
Urgent! Your account 29 has been suspended. Click http://fakebank29.com to verify.,Phishing Email
Urgent! Your account 30 has been suspended. Click http://fakebank30.com to verify.,Phishing Email
Urgent! Your account 31 has been suspended. Click http://fakebank31.com to verify.,Phishing Email
Urgent! Your account 32 has been suspended. Click http://fakebank32.com to verify.,Phishing Email
Urgent! Your account 33 has been suspended. Click http://fakebank33.com to verify.,Phishing Email
Urgent! Your account 34 has been suspended. Click http://fakebank34.com to verify.,Phishing Email
Urgent! Your account 35 has been suspended. Click http://fakebank35.com to verify.,Phishing Email
Urgent! Your account 36 has been suspended. Click http://fakebank36.com to verify.,Phishing Email
Urgent! Your account 37 has been suspended. Click http://fakebank37.com to verify.,Phishing Email
Urgent! Your account 38 has been suspended. Click http://fakebank38.com to verify.,Phishing Email
Urgent! Your account 39 has been suspended. Click http://fakebank39.com to verify.,Phishing Email
Urgent! Your account 40 has been suspended. Click http://fakebank40.com to verify.,Phishing Email
Urgent! Your account 41 has been suspended. Click http://fakebank41.com to verify.,Phishing Email
Urgent! Your account 42 has been suspended. Click http://fakebank42.com to verify.,Phishing Email
Urgent! Your account 43 has been suspended. Click http://fakebank43.com to verify.,Phishing Email
Urgent! Your account 44 has been suspended. Click http://fakebank44.com to verify.,Phishing Email
Urgent! Your account 45 has been suspended. Click http://fakebank45.com to verify.,Phishing Email
Urgent! Your account 46 has been suspended. Click http://fakebank46.com to verify.,Phishing Email
Urgent! Your account 47 has been suspended. Click http://fakebank47.com to verify.,Phishing Email
